2010-12-19T03:44:00.000Z	drew_		can someone help me with dual monitors for 10.04?
2010-12-19T03:44:00.000Z	drew_		I have a ATI 9200 card
2010-12-19T03:44:00.000Z	drew_		ok
2010-12-19T03:45:00.000Z	SeaPhor	drew_	do u have ATICCCLE installed?
2010-12-19T03:45:00.000Z	drew_		can you recommend another channel?
2010-12-19T03:45:00.000Z	drew_	SeaPhor	what is that?
2010-12-19T03:45:00.000Z	SeaPhor		Catalyst control center for ATI
2010-12-19T03:47:00.000Z	drew_	SeaPhor	I tried to install ati-driver.8.28.8 but it says X server unable to connect
2010-12-19T03:48:00.000Z	drew_		Does anyone have experience with ATI driver installs on 10.04?
2010-12-19T03:49:00.000Z	SeaPhor	drew_	what release ubuntu and what ati card u have?
2010-12-19T03:49:00.000Z	drew_	SeaPhor	ATI 9200 and 10.04
2010-12-19T03:52:00.000Z	drew_	SeaPhor	any ideas?
2010-12-19T03:52:00.000Z	SeaPhor	drew_	... "Your card is no longer supported by recent ATI proprietary drivers. You're trying to install an ancient version of the ATI drivers, which won't run..."   from  here -->> http://ubuntuforums.org/showthread.php?t=1541719
2010-12-19T03:52:00.000Z	drew_	SeaPhor	darn...thanks for checking
2010-12-19T03:53:00.000Z	SeaPhor	drew_	read that thread, it may help
2010-12-19T03:53:00.000Z	drew_	SeaPhor	can you recommend a new video card that supports Ubuntu dual monitors?
2010-12-19T03:53:00.000Z	SeaPhor	drew_	or any others from here http://www.google.com/search?q=compiz+effects&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a#hl=en&expIds=25657,27642&sugexp=ldymls&xhr=t&q=ati+linux+drivers+ubuntu+10.04+ati+9200&cp=39&pf=p&sclient=psy&client=firefox-a&rls=org.mozilla:en-US%3Aofficial&aq=f&aqi=&aql=&oq=ati+linux+drivers+ubuntu+10.04+ati+9200&gs_rfai=&pbx=1&fp=83f87efc6f926f13
2010-12-19T03:54:00.000Z	SeaPhor	drew_	any nvidia
2010-12-19T03:55:00.000Z	SeaPhor	drew_	you should be able to install the ATICCCLE and configure the dual monitors thru that tho....
2010-12-19T03:56:00.000Z	drew_	SeaPhor	thank you  i have alot of reading to do here
2010-12-19T03:57:00.000Z	SeaPhor	drew_	 aptitude search catalyst
2010-12-19T04:01:00.000Z	SeaPhor	drew_	or look in search in syaptics for anything ati
