2008-01-24T07:45:00.000Z	bazhang		but not for this channel casey_
2008-01-24T07:46:00.000Z	bazhang		so offtopic casey_
2008-01-24T07:47:00.000Z	bazhang		!bugs
2008-01-24T07:48:00.000Z	bazhang		seen thinkwiki matjan_work?
2008-01-24T07:48:00.000Z	matjan_work	bazhang	yup
2008-01-24T07:48:00.000Z	matjan_work	bazhang	yet a few weeks back
2008-01-24T07:53:00.000Z	matjan_work	bazhang	you using a thinkpad?
2008-01-24T07:54:00.000Z	bazhang	matjan_work	yeah, but a lowly R60 :{
2008-01-24T07:54:00.000Z	matjan_work	bazhang	is it not good?
2008-01-24T07:55:00.000Z	matjan_work	bazhang	but were you able to get Fn-F7 to work?
2008-01-24T07:55:00.000Z	matjan_work	bazhang	or restart X to get it to work?
2008-01-24T07:56:00.000Z	bazhang	matjan_work	for some of them yes--like backlight, screen brightness and sound--think there is a package in the repos for that
2008-01-24T07:57:00.000Z	matjan_work	bazhang	a friend of mine (who uses Gentoo) got it to work on his x61 by plugging the monitor and restarting X... i tried that but did not work at that time
2008-01-24T07:57:00.000Z	bazhang	matjan_work	yeah well wireless under gutsy just has been a problem so no ubuntu on it at the moment :{
2008-01-24T07:58:00.000Z	matjan_work	bazhang	i have no problem at all with wireless
2008-01-24T07:59:00.000Z	matjan_work	bazhang	in fact it has been working since day one on gutsy (alpha 5)
2008-01-24T07:59:00.000Z	bazhang	matjan_work	I could get it to work--just too lazy :{
2008-01-24T08:00:00.000Z	matjan_work	bazhang	anyway... gotta work a bit more on that presentation... i am out of here... thanks for now
2008-01-24T08:01:00.000Z	bazhang	matjan_work	cya
